epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7769,2.42628,8.08707,2.29479,0.19804,0.19682,0.14515,0.0566,2.50054,6.76569,2.24054,0.0001538,0.0001538,0.0001538
2,34.8904,2.03413,3.20802,1.87512,0.49355,0.35603,0.31364,0.10233,2.27866,4.23809,1.9096,0.000312169,0.000312169,0.000312169
3,44.4183,1.9901,2.63065,1.8267,0.48493,0.31206,0.30764,0.10916,2.37765,3.24068,2.14205,0.00046734,0.00046734,0.00046734
4,54.7927,1.93303,2.28063,1.76451,0.44448,0.3764,0.3435,0.13262,2.36281,4.19108,2.14665,0.000619313,0.000619313,0.000619313
5,66.0831,1.9992,2.28466,1.75548,0.30764,0.54718,0.27166,0.10784,2.2447,11.3047,2.00511,0.000738548,0.000738548,0.000738548
6,75.3159,1.96997,2.09953,1.77955,0.41757,0.37009,0.32602,0.12278,2.40234,3.03989,2.06182,0.000730935,0.000730935,0.000730935
7,84.7841,1.95875,2.04676,1.76966,0.40594,0.30945,0.28304,0.10981,2.48527,2.86152,2.2387,0.000723321,0.000723321,0.000723321
8,95.0779,1.94382,1.89712,1.75614,0.75519,0.25316,0.34281,0.13385,2.4327,2.07256,2.05854,0.000715708,0.000715708,0.000715708
9,104.293,1.91264,1.84688,1.74944,0.51243,0.38328,0.37244,0.1442,2.35695,2.59515,2.05515,0.000708095,0.000708095,0.000708095
10,114.302,1.88043,1.79007,1.74713,0.5957,0.42543,0.42758,0.15861,2.34504,2.07906,2.005,0.000700482,0.000700482,0.000700482
11,124.78,1.84236,1.67344,1.67199,0.71566,0.44425,0.44334,0.16807,2.40537,1.82138,1.94887,0.000692869,0.000692869,0.000692869
12,134.142,1.90929,1.73113,1.74529,0.73714,0.39752,0.44535,0.19314,2.30301,1.81185,1.96467,0.000685256,0.000685256,0.000685256
13,143.768,1.85397,1.57537,1.65196,0.55923,0.43595,0.4363,0.15194,2.40824,2.03541,2.04974,0.000677643,0.000677643,0.000677643
14,154.034,1.83787,1.66423,1.71121,0.71079,0.39703,0.44811,0.1602,2.25091,1.8738,1.9307,0.00067003,0.00067003,0.00067003
15,163.515,1.81559,1.5155,1.63908,0.64501,0.4601,0.49087,0.19096,2.36556,1.67606,1.93794,0.000662417,0.000662417,0.000662417
16,173.312,1.78205,1.51284,1.60057,0.40022,0.47562,0.43475,0.17074,2.29893,1.84737,1.91936,0.000654804,0.000654804,0.000654804
17,183.708,1.81622,1.51286,1.67198,0.58252,0.5002,0.49622,0.1922,2.34351,1.71354,1.98682,0.00064719,0.00064719,0.00064719
18,192.773,1.80443,1.44925,1.6675,0.60771,0.48068,0.49695,0.20504,2.27437,1.82728,1.91299,0.000639577,0.000639577,0.000639577
19,202.516,1.73728,1.41067,1.59108,0.82205,0.42799,0.52358,0.20607,2.33846,1.62528,1.95306,0.000631964,0.000631964,0.000631964
20,212.846,1.75449,1.40423,1.6232,0.68275,0.43976,0.52671,0.1942,2.37098,1.59767,2.00154,0.000624351,0.000624351,0.000624351
21,221.941,1.7237,1.38376,1.58033,0.54053,0.48856,0.49875,0.1856,2.47958,1.82381,2.03257,0.000616738,0.000616738,0.000616738
22,231.376,1.72285,1.40212,1.58503,0.55997,0.56123,0.52838,0.21274,2.39011,1.82254,2.00676,0.000609125,0.000609125,0.000609125
23,241.675,1.67255,1.29832,1.5393,0.607,0.48669,0.52468,0.19484,2.36655,1.858,2.02789,0.000601512,0.000601512,0.000601512
24,250.525,1.67559,1.32696,1.54222,0.66257,0.43156,0.46855,0.18415,2.42279,1.87799,2.06311,0.000593899,0.000593899,0.000593899
25,260.477,1.65773,1.24672,1.56827,0.69926,0.42768,0.52647,0.20262,2.36431,1.63219,1.96024,0.000586286,0.000586286,0.000586286
26,270.943,1.58667,1.2164,1.47931,0.58893,0.55855,0.58714,0.21676,2.31222,1.52913,1.87141,0.000578672,0.000578672,0.000578672
27,279.671,1.62971,1.2505,1.51579,0.6483,0.56447,0.57021,0.21161,2.38352,1.7629,1.9666,0.000571059,0.000571059,0.000571059
28,289.566,1.57135,1.17119,1.45042,0.61823,0.51662,0.51529,0.19242,2.35447,1.61078,1.97015,0.000563446,0.000563446,0.000563446
29,299.936,1.58916,1.20362,1.48963,0.71814,0.52324,0.55384,0.21214,2.40063,1.69148,1.9816,0.000555833,0.000555833,0.000555833
30,308.708,1.53499,1.13415,1.42821,0.66788,0.48663,0.54685,0.20932,2.42812,1.61337,1.93512,0.00054822,0.00054822,0.00054822
31,318.616,1.50023,1.09585,1.42255,0.6045,0.48735,0.53848,0.20507,2.4601,1.63286,2.02231,0.000540607,0.000540607,0.000540607
32,328.592,1.49435,1.11562,1.4488,0.70089,0.46262,0.52694,0.21218,2.4618,1.72598,2.04072,0.000532994,0.000532994,0.000532994
33,337.516,1.48314,1.04794,1.38589,0.59315,0.49606,0.53061,0.20479,2.43253,1.68578,2.03576,0.000525381,0.000525381,0.000525381
34,347.787,1.49532,1.09772,1.42506,0.56437,0.47347,0.51694,0.19014,2.4921,1.71556,2.0325,0.000517768,0.000517768,0.000517768
35,357.856,1.46107,1.05997,1.40852,0.65299,0.54202,0.57108,0.20815,2.50712,1.61118,2.05257,0.000510155,0.000510155,0.000510155
36,366.524,1.42884,0.99803,1.36938,0.72406,0.52718,0.55815,0.18802,2.52085,1.76629,2.1503,0.000502541,0.000502541,0.000502541
37,378.041,1.39199,0.9964,1.3576,0.66101,0.49083,0.52568,0.19377,2.48743,1.84666,2.09892,0.000494928,0.000494928,0.000494928
38,388.774,1.44037,1.01139,1.37232,0.67853,0.47175,0.54202,0.20145,2.49577,1.76086,2.08301,0.000487315,0.000487315,0.000487315
39,397.899,1.4013,0.96066,1.37948,0.77659,0.56532,0.60594,0.22294,2.51016,1.47686,2.10735,0.000479702,0.000479702,0.000479702
40,408.28,1.4047,0.97425,1.3759,0.8032,0.49928,0.59148,0.21418,2.47684,1.51662,2.07877,0.000472089,0.000472089,0.000472089
41,418.999,1.36955,0.94209,1.3681,0.60656,0.52799,0.55781,0.22066,2.43897,1.52693,2.11525,0.000464476,0.000464476,0.000464476
42,428.703,1.34293,0.90647,1.34023,0.73224,0.45689,0.55768,0.20724,2.50699,1.69383,2.07493,0.000456863,0.000456863,0.000456863
43,438.758,1.35002,0.93807,1.352,0.61134,0.53091,0.54213,0.20286,2.5569,1.68585,2.166,0.00044925,0.00044925,0.00044925
44,448.978,1.32496,0.90338,1.33099,0.63184,0.56957,0.58608,0.21837,2.47323,1.61395,2.13618,0.000441637,0.000441637,0.000441637
45,457.564,1.29493,0.86419,1.29697,0.78785,0.43974,0.55637,0.20135,2.44769,1.56124,2.12835,0.000434024,0.000434024,0.000434024
46,467.521,1.29923,0.86612,1.28889,0.61996,0.54693,0.55138,0.20841,2.47597,1.54522,2.14363,0.000426411,0.000426411,0.000426411
47,477.961,1.24866,0.8174,1.26531,0.69746,0.45758,0.57929,0.20996,2.44573,1.54659,2.09063,0.000418797,0.000418797,0.000418797
48,487.039,1.25651,0.82585,1.26966,0.6537,0.52223,0.59797,0.22658,2.45771,1.61441,2.05526,0.000411184,0.000411184,0.000411184
49,497.223,1.22076,0.80886,1.25553,0.63865,0.48124,0.55318,0.21543,2.39311,1.48741,2.01872,0.000403571,0.000403571,0.000403571
50,507.212,1.22068,0.7939,1.24084,0.62936,0.54966,0.54214,0.20874,2.50444,1.48488,2.08463,0.000395958,0.000395958,0.000395958
51,515.98,1.23601,0.83174,1.26233,0.6103,0.51708,0.56312,0.20785,2.46343,1.46892,2.08411,0.000388345,0.000388345,0.000388345
52,526.155,1.19579,0.75698,1.23648,0.59814,0.57643,0.60635,0.20583,2.46255,1.50066,2.09553,0.000380732,0.000380732,0.000380732
53,536.289,1.19044,0.78991,1.2291,0.62424,0.58618,0.5833,0.19877,2.48119,1.45562,2.11395,0.000373119,0.000373119,0.000373119
54,544.737,1.16137,0.73567,1.1913,0.71078,0.50614,0.54783,0.19275,2.51627,1.48263,2.15388,0.000365506,0.000365506,0.000365506
55,555.314,1.15891,0.75857,1.22882,0.73989,0.51678,0.57984,0.20324,2.43672,1.56698,2.04381,0.000357893,0.000357893,0.000357893
56,566.506,1.1731,0.75929,1.2158,0.65086,0.53738,0.55521,0.20771,2.47973,1.51442,2.09414,0.00035028,0.00035028,0.00035028
57,575.64,1.15733,0.75126,1.20588,0.72873,0.57352,0.59553,0.20858,2.51133,1.40888,2.1137,0.000342666,0.000342666,0.000342666
58,585.388,1.16693,0.73902,1.21135,0.64208,0.62325,0.59112,0.20589,2.56241,1.45162,2.13509,0.000335053,0.000335053,0.000335053
59,595.898,1.14345,0.76403,1.21993,0.67103,0.5294,0.58081,0.21243,2.52502,1.53934,2.17751,0.00032744,0.00032744,0.00032744
60,605.008,1.14423,0.74857,1.19263,0.7089,0.49333,0.55233,0.21472,2.47025,1.58362,2.15734,0.000319827,0.000319827,0.000319827
61,614.802,1.12253,0.73618,1.18218,0.66649,0.5445,0.56694,0.2199,2.44724,1.52872,2.16339,0.000312214,0.000312214,0.000312214
62,625.373,1.10777,0.70516,1.19308,0.77814,0.51886,0.58995,0.22097,2.51796,1.46774,2.26605,0.000304601,0.000304601,0.000304601
63,635.095,1.10981,0.71354,1.21007,0.77994,0.54985,0.61171,0.21936,2.4732,1.467,2.21519,0.000296988,0.000296988,0.000296988
64,645.509,1.04468,0.66162,1.13499,0.71964,0.48253,0.56175,0.20935,2.51718,1.56235,2.23428,0.000289375,0.000289375,0.000289375
65,656.35,1.09162,0.69065,1.15962,0.64476,0.52003,0.55929,0.20244,2.54455,1.64832,2.21071,0.000281762,0.000281762,0.000281762
66,666.445,1.06192,0.70152,1.1449,0.65648,0.48396,0.5461,0.20788,2.52747,1.59137,2.20193,0.000274148,0.000274148,0.000274148
67,675.874,1.04328,0.65472,1.13234,0.78574,0.48051,0.55934,0.20965,2.4693,1.51535,2.2095,0.000266535,0.000266535,0.000266535
68,686.493,1.03313,0.66864,1.14351,0.75681,0.54015,0.59164,0.22113,2.41375,1.40382,2.17378,0.000258922,0.000258922,0.000258922
69,696.943,1.03507,0.68058,1.14257,0.72181,0.52622,0.57721,0.2241,2.4324,1.46486,2.19191,0.000251309,0.000251309,0.000251309
70,706.023,1.02168,0.66201,1.10247,0.62902,0.55397,0.57617,0.21193,2.42848,1.44054,2.21949,0.000243696,0.000243696,0.000243696
